Position,Const,Created,Modified,Description,Name,Known For,Birth Date
72,nm0010736,2016-11-20,2016-11-20,,Amy Adams,Arrival,1974-08-20
73,nm1869101,2016-11-20,2016-11-20,,Ana de Armas,Blade Runner 2049,1988-04-30
74,nm0000295,2016-11-20,2016-11-20,,Kate Beckinsale,Underworld: Evolution,1973-07-26
75,nm1046097,2016-11-20,2016-11-20,,Rachel McAdams,The Notebook,1978-11-17
76,nm0447695,2016-11-20,2016-11-20,,Anna Kendrick,Up in the Air,1985-08-09
77,nm0272581,2016-11-20,2016-11-20,,Rebecca Ferguson,Mission: Impossible - Rogue Nation,1983-10-19
78,nm0597388,2016-11-20,2016-11-20,,Jason Momoa,Aquaman,1979-08-01
79,nm0935395,2016-11-20,2016-11-20,,Katheryn Winnick,Vikings,1977-12-17
80,nm0372176,2016-11-20,2016-11-20,,Lena Headey,Game of Thrones,1973-10-03
81,nm6552202,2016-11-20,2016-11-20,,Brianna Hildebrand,Deadpool,1996-08-14
82,nm0000250,2016-11-20,2016-11-20,,Renée Zellweger,Chicago,1969-04-25
83,nm0000096,2016-11-20,2016-11-20,,Gillian Anderson,The X Files,1968-08-09
84,nm1209966,2016-11-20,2016-11-20,,Oscar Isaac,Ex Machina,1979-03-09
85,nm1785339,2016-11-20,2016-11-20,,Rami Malek,Bohemian Rhapsody,1981-05-12
86,nm1519680,2016-11-20,2016-11-20,,Saoirse Ronan,Hanna,1994-04-12
87,nm0000233,2016-11-20,2016-11-20,,Quentin Tarantino,Reservoir Dogs,1963-03-27
88,nm4141252,2016-11-20,2016-11-20,,Lily James,Cinderella,1989-04-05
89,nm1659348,2016-11-20,2016-11-20,,Lauren Cohan,The Boy,1982-01-07
90,nm0609944,2016-11-20,2016-11-20,,Wagner Moura,Tropa de Elite,1976-06-27
91,nm2017943,2016-11-20,2016-11-20,,Hayley Atwell,Captain America: The First Avenger,1982-04-05
92,nm0544718,2016-11-20,2016-11-20,,Kate Mara,Fantastic Four,1983-02-27
93,nm0424848,2016-11-20,2016-11-20,,Dakota Johnson,Fifty Shades of Grey,1989-10-04
94,nm3229685,2016-11-20,2016-11-20,,Kit Harington,Game of Thrones,1986-12-26
95,nm0000129,2016-11-20,2016-11-20,,Tom Cruise,Top Gun,1962-07-03
96,nm0842332,2016-11-20,2016-11-20,,Jodie Sweetin,Full House,1982-01-19
97,nm1055413,2016-11-20,2016-11-20,,Michael Fassbender,Shame,1977-04-02
98,nm2832695,2016-11-20,2016-11-20,,Deborah Ann Woll,True Blood,1985-02-07
99,nm1165110,2016-11-20,2016-11-20,,Chris Hemsworth,The Avengers,1983-08-11
100,nm0695435,2016-11-20,2016-11-20,,Chris Pratt,Guardians of the Galaxy,1979-06-21
